Table 8,,,,,,,,,,,,,
Long Beach,"33,534",35,0,,1,13,21,337,42,277,18,,"1,124,529,156"
Lowville Village,"3,457",2,0,,0,0,2,58,7,47,4,,"11,950,849"
Lynbrook Village,"19,528",12,0,,1,3,8,164,18,128,18,,"381,342,784"
Lyons Village,"3,543",27,0,,5,3,19,179,34,142,3,,"12,552,849"
Macedon Town and Village,"9,132",4,0,,0,1,3,61,7,52,2,,"83,393,424"
Malone Village,"5,881",4,0,,0,2,2,192,28,161,3,2,"34,586,161"
Malverne Village,"8,542",4,0,,0,3,1,21,3,17,1,0,"72,965,764"
Mamaroneck Town,"12,146",1,0,,0,1,0,158,16,141,1,0,"147,525,316"
Mamaroneck Village,"19,164",8,0,,1,2,5,181,23,150,8,0,"367,258,896"
Manchester Village,"1,688",0,0,,0,0,0,0,0,0,0,0,"2,849,344"
Manlius Town,"24,461",18,0,,0,4,14,402,56,343,3,0,"598,340,521"
Marcellus Village,"1,792",0,0,,0,0,0,13,2,11,0,0,"3,211,264"
Marlborough Town,"8,769",5,0,,0,1,4,135,35,97,3,1,"76,895,361"
Massena Village,"10,808",22,0,,2,2,18,410,52,358,0,,"116,812,864"
Mechanicville,"5,213",8,0,,0,3,5,114,21,89,4,,"27,175,369"
Medina Village,"5,953",12,0,,0,3,9,139,37,100,2,,"35,438,209"
Menands Village,"3,991",5,0,,0,1,4,101,13,87,1,,"15,928,081"
Middleport Village,"1,813",2,0,,0,0,2,19,1,16,2,0,"3,286,969"
Middletown,"27,809",114,1,,6,47,60,852,136,683,33,4,"773,340,481"
Monroe Village,"8,544",12,0,,0,5,7,137,16,118,3,0,"72,999,936"
Montgomery Town,"8,961",6,0,,2,1,3,114,22,91,1,,"80,299,521"
Montgomery Village,"4,188",2,0,,0,0,2,45,3,42,0,0,"17,539,344"
Monticello Village,"6,582",48,0,,4,16,28,276,107,164,5,,"43,322,724"
Moravia Village,"1,263",3,0,,0,0,3,15,0,15,0,0,"1,595,169"
Moriah Town,"3,628",7,0,,0,0,7,9,3,5,1,0,"13,162,384"
Mount Hope Town,"7,112",0,0,,0,0,0,32,6,25,1,,"50,580,544"
Mount Kisco Village,"11,028",17,0,,1,6,10,108,10,98,0,0,"121,616,784"
Mount Morris Village,"2,912",2,0,,0,1,1,74,10,63,1,,"8,479,744"
Mount Pleasant Town,"26,564",12,0,,0,6,6,226,25,198,3,0,"705,646,096"
Mount Vernon,"68,071",554,2,,7,228,317,"1,436",317,972,147,,"4,633,661,041"
Newark Village,"8,978",27,0,,3,7,17,334,71,261,2,,"80,604,484"
New Berlin Town,"1,622",0,0,,0,0,0,0,0,0,0,0,"2,630,884"
Newburgh,"28,571",435,5,,21,150,259,"1,040",304,673,63,15,"816,302,041"
Newburgh Town,"30,984",38,0,,5,15,18,"1,353",143,"1,182",28,2,"960,008,256"
New Castle Town,"17,864",2,0,,0,0,2,77,13,62,2,0,"319,122,496"
New Hartford Town and Village,"20,355",13,0,,1,3,9,806,72,730,4,,"414,326,025"
New Paltz Town and Village,"14,248",34,0,,4,4,26,200,16,180,4,0,"203,005,504"
New Rochelle,"78,800",175,0,,5,81,89,"1,391",150,"1,172",69,,"6,209,440,000"
New Windsor Town,"25,767",31,0,,1,8,22,471,65,394,12,4,"663,938,289"
New York,"8,396,126","52,384",335,,"1,112","19,170","31,767","141,971","16,606","117,931","7,434",,"70,494,931,807,876"
New York Mills Village,"3,324",2,0,,0,0,2,64,16,47,1,0,"11,048,976"
Niagara Falls,"49,574",584,3,,12,166,403,"2,807",746,"1,949",112,22,"2,457,581,476"
Niagara Town,"8,241",13,0,,0,2,11,489,48,427,14,,"67,914,081"
Niskayuna Town,"22,097",13,0,,1,5,7,341,51,282,8,,"488,277,409"
Nissequogue Village,"1,754",0,0,,0,0,0,8,1,6,1,0,"3,076,516"
North Castle Town,"12,077",3,0,,0,0,3,68,12,53,3,,"145,853,929"
North Greenbush Town,"12,137",8,0,,0,2,6,230,32,196,2,,"147,306,769"
Northport Village,"7,411",6,0,,0,1,5,59,11,44,4,2,"54,922,921"
North Syracuse Village,"6,964",10,0,,0,0,10,111,14,94,3,0,"48,497,296"
North Tonawanda,"31,176",41,1,,8,17,15,586,114,455,17,,"971,942,976"
Northville Village,"1,097",0,0,,0,0,0,1,0,1,0,0,"1,203,409"
Norwich,"7,049",15,0,,4,0,11,325,25,297,3,0,"49,688,401"
Ogdensburg,"11,072",23,0,,1,5,17,397,72,321,4,2,"122,589,184"
Ogden Town,"20,026",17,0,,2,6,9,208,24,176,8,,"401,040,676"
Old Brookville Village,"2,171",4,0,,0,1,3,54,16,28,10,0,"4,713,241"
Old Westbury Village,"4,625",1,0,,0,0,1,39,6,29,4,0,"21,390,625"
Olean,"14,150",40,0,,5,5,30,593,76,508,9,,"200,222,500"
Oneida,"11,220",18,0,,2,4,12,434,68,357,9,,"125,888,400"
Oneonta City,"13,825",21,0,,3,11,7,311,69,238,4,3,"191,130,625"
Orangetown Town,"37,438",37,0,,1,13,23,317,41,262,14,,"1,401,603,844"
Orchard Park Town,"29,386",16,0,,2,4,10,346,37,297,12,0,"863,536,996"
Oriskany Village,"1,385",0,0,,0,0,0,10,2,8,0,0,"1,918,225"
Ossining Village,"25,314",36,0,,0,21,15,243,46,192,5,0,"640,798,596"
Oswego City,"18,139",54,1,,3,13,37,630,83,533,14,,"329,023,321"
Owego Village,"3,818",9,0,,1,2,6,199,39,156,4,,"14,577,124"
Oxford Village,"1,433",2,0,,0,1,1,13,1,12,0,0,"2,053,489"
Oyster Bay Cove Village,"4,233",0,0,,0,0,0,19,3,16,0,0,"17,918,289"
Painted Post Village,"2,116",1,0,,0,0,1,73,5,66,2,1,"4,477,456"
Palmyra Village,"3,475",4,0,,0,0,4,41,9,31,1,,"12,075,625"
Peekskill,"23,908",30,0,,0,8,22,248,25,215,8,,"571,592,464"
Pelham Manor Village,"5,558",2,0,,0,1,1,147,14,130,3,,"30,891,364"
Pelham Village,"6,982",7,0,,1,2,4,172,22,149,1,,"48,748,324"
Penn Yan Village,"5,123",4,0,,1,1,2,111,21,89,1,0,"26,245,129"
Perry Village,"3,633",3,0,,0,0,3,99,14,84,1,,"13,198,689"
Piermont Village,"2,550",1,0,,1,0,0,19,6,13,0,,"6,502,500"
Pine Plains Town,"2,460",1,0,,0,0,1,12,1,9,2,0,"6,051,600"
Plattekill Town,"10,374",8,0,,1,2,5,106,28,77,1,,"107,619,876"
Plattsburgh City,"19,672",39,0,,3,4,32,483,79,396,8,,"386,987,584"
Pleasantville Village,"7,100",0,0,,0,0,0,22,1,21,0,0,"50,410,000"
Port Byron Village,"1,274",0,0,,0,0,0,0,0,0,0,0,"1,623,076"
Port Chester Village,"29,328",48,0,,2,19,27,572,67,483,22,0,"860,131,584"
Port Dickinson Village,"1,602",0,0,,0,0,0,31,0,31,0,0,"2,566,404"
Port Jervis,"8,689",15,1,,3,3,8,284,67,214,3,3,"75,498,721"
Portville Village,997,0,0,,0,0,0,8,1,7,0,0,"994,009"
Potsdam Village,"9,613",8,0,,1,0,7,190,17,168,5,,"92,409,769"
Poughkeepsie,"30,778",286,7,,16,100,163,787,189,589,9,,"947,285,284"
Poughkeepsie Town,"43,866",39,1,,1,12,25,"1,339",125,"1,203",11,,"1,924,225,956"
Pound Ridge Town,"5,200",3,0,,0,0,3,33,15,18,0,,"27,040,000"
Pulaski Village,"2,354",1,0,,0,0,1,57,12,44,1,0,"5,541,316"
Quogue Village,977,0,0,,0,0,0,41,13,27,1,0,"954,529"
Ramapo Town,"87,204",57,2,,5,9,41,567,88,466,13,,"7,604,537,616"
Red Hook Village,"1,947",1,0,,0,0,1,30,6,24,0,0,"3,790,809"
Rensselaer City,"9,517",19,0,,4,3,12,159,44,108,7,2,"90,573,289"
Rhinebeck Village,"2,635",2,0,,0,0,2,42,0,41,1,0,"6,943,225"
Riverhead Town,"33,789",64,0,,3,26,35,922,160,729,33,0,"1,141,696,521"
Rochester,"210,562","2,107",42,,92,918,"1,055","10,051","2,587","6,855",609,132,"44,336,355,844"
Rockville Centre Village,"24,129",22,1,,1,11,9,271,30,223,18,0,"582,208,641"
Rome,"32,557",47,4,,0,23,20,662,157,470,35,2,"1,059,958,249"
Rosendale Town,"6,026",1,0,,0,0,1,60,16,44,0,,"36,312,676"
Rotterdam Town,"29,146",33,2,,4,16,11,829,109,700,20,4,"849,489,316"
Rye Brook Village,"9,480",2,0,,0,2,0,88,9,77,2,0,"89,870,400"
Sag Harbor Village,"2,279",3,0,,0,1,2,71,17,53,1,0,"5,193,841"
Salamanca,"5,691",18,0,,1,2,15,155,38,105,12,,"32,387,481"
Sands Point Village,"2,715",0,0,,0,0,0,18,4,13,1,0,"7,371,225"
Saranac Lake Village,"5,369",26,1,,1,1,23,150,30,115,5,,"28,826,161"
Saratoga Springs,"27,081",33,1,,3,8,21,642,84,550,8,,"733,380,561"
Saugerties Town,"19,318",15,0,,3,5,7,319,51,268,0,0,"373,185,124"
Scarsdale Village,"17,564",1,0,,0,0,1,184,24,153,7,,"308,494,096"
Schenectady,"66,041",607,8,,31,203,365,"2,800",769,"1,878",153,,"4,361,413,681"
Schodack Town,"11,573",4,0,,0,1,3,97,25,70,2,,"133,934,329"
Schoharie Village,872,0,0,,0,0,0,0,0,0,0,0,"760,384"
Scotia Village,"7,700",5,1,,0,1,3,126,14,112,0,,"59,290,000"
Seneca Falls Town,"2,362",12,0,,0,1,11,292,49,238,5,,"5,579,044"
Shandaken Town,"3,043",4,0,,0,0,4,62,17,44,1,,"9,259,849"
Shawangunk Town,"14,205",3,0,,0,0,3,80,20,60,0,,"201,782,025"
Shelter Island Town,"2,412",3,0,,0,0,3,41,2,39,0,0,"5,817,744"
Sherburne Village,"1,351",1,0,,0,0,1,15,7,8,0,0,"1,825,201"
Sherrill,"3,064",4,0,,0,0,4,37,14,23,0,,"9,388,096"
Shortsville Village,"1,437",0,0,,0,0,0,0,0,0,0,0,"2,064,969"
Sidney Village,"3,805",7,0,,4,1,2,185,21,161,3,,"14,478,025"
Skaneateles Village,"2,450",0,0,,0,0,0,10,2,8,0,0,"6,002,500"
Sleepy Hollow Village,"9,996",8,1,,0,1,6,58,9,47,2,0,"99,920,016"
Sodus Village,"1,805",0,0,,0,0,0,24,2,22,0,,"3,258,025"
Solvay Village,"6,487",19,0,,0,6,13,186,38,142,6,0,"42,081,169"
Southampton Town,"50,603",44,0,,6,16,22,"1,020",219,752,49,1,"2,560,663,609"
Southampton Village,"3,161",3,0,,0,1,2,118,9,105,4,,"9,991,921"
South Glens Falls Village,"3,640",6,0,,1,1,4,114,17,95,2,,"13,249,600"
Southold Town,"19,963",12,0,,1,5,6,343,70,271,2,,"398,521,369"
Spring Valley Village,"32,288",132,2,,9,34,87,404,53,335,16,,"1,042,514,944"
Stillwater Town,"6,587",1,0,,0,0,1,24,4,18,2,1,"43,388,569"
St. Johnsville Village,"1,691",3,0,,0,0,3,47,8,39,0,,"2,859,481"
Stony Point Town,"15,307",12,0,,0,1,11,107,18,83,6,,"234,304,249"
Suffern Village,"10,886",9,0,,0,1,8,60,11,48,1,0,"118,504,996"
Syracuse,"143,834","1,192",21,,75,400,696,"6,473","1,781","4,298",394,57,"20,688,219,556"
Tarrytown Village,"11,449",6,0,,0,3,3,110,12,94,4,0,"131,079,601"
Ticonderoga Town,"4,982",11,0,,4,0,7,94,23,71,0,,"24,820,324"
Tonawanda,"14,987",34,0,,0,4,30,315,24,289,2,4,"224,610,169"
Tonawanda Town,"58,082",118,1,,5,26,86,"1,099",190,882,27,1,"3,373,518,724"
Troy,"49,898",371,1,,14,145,211,"1,985",593,"1,305",87,5,"2,489,810,404"
Trumansburg Village,"1,820",2,0,,1,1,0,66,6,58,2,,"3,312,400"
Tuckahoe Village,"6,578",0,0,,0,0,0,35,7,27,1,0,"43,270,084"
Tupper Lake Village,"3,642",3,0,,0,0,3,83,22,59,2,,"13,264,164"
Tuxedo Park Village,615,0,0,,0,0,0,0,0,0,0,0,"378,225"
Ulster Town,"12,195",14,0,,3,2,9,437,25,410,2,,"148,718,025"
Utica,"61,686",361,7,,27,102,225,"2,528",449,"1,997",82,,"3,805,162,596"
Vestal Town,"27,980",16,0,,2,6,8,571,39,523,9,,"782,880,400"
Walden Village,"6,887",18,1,,2,1,14,142,13,124,5,,"47,430,769"
Wallkill Town,"27,940",40,0,,3,16,21,767,91,650,26,1,"780,643,600"
Walton Village,"3,012",6,0,,1,0,5,68,18,50,0,,"9,072,144"
Warsaw Village,"3,453",6,0,,1,0,5,78,5,73,0,0,"11,923,209"
Washingtonville Village,"5,828",2,0,,0,1,1,58,5,51,2,0,"33,965,584"
Waterford Town and Village,"8,392",4,0,,0,0,4,59,6,52,1,0,"70,425,664"
Waterloo Village,"5,175",11,0,,0,3,8,194,23,169,2,,"26,780,625"
Watertown,"28,179",109,0,,12,16,81,"1,165",169,953,43,,"794,056,041"
Watervliet,"10,245",26,1,,3,11,11,242,58,163,21,,"104,960,025"
Watkins Glen Village,"1,862",6,0,,0,0,6,92,10,80,2,,"3,467,044"
Waverly Village,"4,337",5,0,,0,1,4,54,9,41,4,,"18,809,569"
Webster Town and Village,"43,777",21,0,,2,3,16,469,101,361,7,,"1,916,425,729"
Weedsport Village,"1,797",0,0,,0,0,0,25,5,20,0,0,"3,229,209"
Wellsville Village,"4,574",11,0,,1,0,10,164,32,129,3,1,"20,921,476"
Westhampton Beach Village,"1,732",2,0,,0,0,2,44,4,37,3,0,"2,999,824"
West Seneca Town,"44,821",35,1,,1,9,24,896,166,710,20,0,"2,008,922,041"
Whitehall Village,"2,604",6,0,,0,0,6,62,12,49,1,,"6,780,816"
White Plains,"57,559",78,1,,3,28,46,"1,232",77,"1,134",21,,"3,313,038,481"
Whitesboro Village,"3,733",4,0,,0,0,4,36,14,21,1,0,"13,935,289"
Whitestown Town,"9,141",0,0,,0,0,0,77,13,61,3,0,"83,557,881"
Woodbury Town,"10,685",3,0,,0,2,1,541,9,529,3,,"114,169,225"
Woodridge Village,829,7,0,,0,0,7,17,8,9,0,0,"687,241"
Woodstock Town,"5,931",2,0,,0,0,2,58,13,45,0,,"35,176,761"
Yonkers,"199,134","1,036",6,,25,390,615,"2,368",470,"1,662",236,10,"39,654,349,956"
Yorktown Town,"36,643",15,0,,0,2,13,334,45,287,2,,"1,342,709,449"
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,